epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9042,0.60202,3.41795,1.17802,0.02218,0.97727,0.35546,0.29906,0.61738,2.89629,1.0755,0.000274061,0.000274061,0.000274061
2,21.7458,0.6467,2.69285,1.1815,0.61399,0.5599,0.56615,0.41285,0.8406,2.42808,1.36565,0.000524417,0.000524417,0.000524417
3,30.8925,0.66929,2.29258,1.18051,0.60258,0.5087,0.5093,0.37761,1.03519,2.5205,1.64188,0.000747284,0.000747284,0.000747284
4,39.3712,0.68555,2.07689,1.1814,0.57065,0.50169,0.54909,0.39909,1.06257,2.21779,1.55964,0.000709299,0.000709299,0.000709299
5,47.8441,0.65647,1.92588,1.16123,0.47259,0.62449,0.56957,0.40886,0.96945,2.01228,1.41728,0.000668066,0.000668066,0.000668066
6,56.2349,0.61506,1.70345,1.13095,0.89959,0.5767,0.7218,0.57776,0.68114,1.67219,1.135,0.000626832,0.000626832,0.000626832
7,64.6694,0.58506,1.57846,1.11061,0.71884,0.62168,0.71461,0.52056,0.7592,1.84343,1.15686,0.000585599,0.000585599,0.000585599
8,73.1233,0.56144,1.47755,1.10025,0.64371,0.63359,0.6586,0.47426,0.90541,1.51871,1.34475,0.000544365,0.000544365,0.000544365
9,81.415,0.52951,1.38765,1.07516,0.76502,0.65266,0.73514,0.53028,0.85203,1.6164,1.38901,0.000503132,0.000503132,0.000503132
10,89.8038,0.5492,1.32945,1.08641,0.68483,0.6108,0.70876,0.56382,0.72653,1.83106,1.1921,0.000461898,0.000461898,0.000461898
11,121.236,0.48567,1.46078,1.09431,0.76267,0.6222,0.75443,0.58994,0.67127,1.53467,1.10739,0.000420665,0.000420665,0.000420665
12,130.667,0.45803,1.25669,1.06081,0.85081,0.55722,0.71809,0.57029,0.7031,1.60228,1.20165,0.000379431,0.000379431,0.000379431
13,140.137,0.42299,1.12974,1.0327,0.69449,0.63068,0.65157,0.47304,0.85,1.47646,1.37556,0.000338198,0.000338198,0.000338198
14,148.968,0.39822,1.04168,1.01749,0.75565,0.55058,0.70367,0.57459,0.63935,1.69998,1.11879,0.000296964,0.000296964,0.000296964
15,157.666,0.36776,0.94039,0.98965,0.89671,0.51705,0.72489,0.57961,0.66979,1.48256,1.13662,0.000255731,0.000255731,0.000255731
16,166.324,0.35494,0.84508,0.98431,0.67972,0.60227,0.71137,0.55335,0.70824,1.54898,1.22445,0.000214497,0.000214497,0.000214497
17,174.897,0.33105,0.78769,0.96217,0.72194,0.64773,0.74787,0.58738,0.6777,1.37129,1.18651,0.000173264,0.000173264,0.000173264
18,183.409,0.31106,0.70955,0.94431,0.74804,0.59375,0.66675,0.55457,0.59715,1.65371,1.21287,0.000132031,0.000132031,0.000132031
19,192.487,0.29243,0.66981,0.92615,0.91602,0.51705,0.65706,0.54597,0.5852,1.7876,1.18017,9.0797e-05,9.0797e-05,9.0797e-05
20,201.389,0.28325,0.6293,0.92767,0.82242,0.58978,0.70076,0.58031,0.57799,1.55503,1.21021,4.95635e-05,4.95635e-05,4.95635e-05
