epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7597,0.65016,3.88076,1.18278,0.37286,0.30097,0.29038,0.26409,0.48516,2.34353,1.02508,0.00331461,0.00331461,0.00331461
2,58.989,0.62639,2.37897,1.1299,0.21596,0.29816,0.22702,0.18107,0.74379,2.75358,1.24519,0.006626,0.006626,0.006626
3,87.3976,0.76369,2.25442,1.19151,0.28295,0.33185,0.28237,0.22357,0.92323,2.5735,1.36115,0.0099154,0.0099154,0.0099154
4,116.066,0.90801,2.44026,1.29232,0.2301,0.28282,0.19926,0.14095,1.14242,3.05709,1.64224,0.009901,0.009901,0.009901
5,145.977,0.90986,2.36376,1.29852,0.49923,0.21026,0.23433,0.17838,1.02717,3.05178,1.4397,0.009868,0.009868,0.009868
6,175.248,0.91628,2.25785,1.29391,0.24586,0.30228,0.23249,0.17515,1.03197,2.78428,1.43839,0.009835,0.009835,0.009835
7,204.31,0.91375,2.19017,1.29314,0.51106,0.28803,0.31877,0.24844,0.91744,2.43445,1.34643,0.009802,0.009802,0.009802
8,232.158,0.88052,2.11912,1.27429,0.35925,0.36988,0.3402,0.25978,0.88396,2.31213,1.3181,0.009769,0.009769,0.009769
9,261.181,0.84459,2.00073,1.24665,0.48366,0.34423,0.33358,0.26498,0.85467,2.44749,1.30445,0.009736,0.009736,0.009736
10,290.339,0.84088,1.96766,1.24024,0.36057,0.38782,0.36598,0.29257,0.81573,2.23051,1.26194,0.009703,0.009703,0.009703
11,319.326,0.82732,1.90022,1.23222,0.35942,0.3623,0.36734,0.2907,0.81042,2.24275,1.26439,0.00967,0.00967,0.00967
12,346.974,0.80474,1.85711,1.21436,0.36926,0.35867,0.3585,0.2927,0.82328,2.23365,1.28492,0.009637,0.009637,0.009637
13,374.316,0.79774,1.80436,1.21299,0.46208,0.39388,0.40584,0.32839,0.78309,2.28108,1.25704,0.009604,0.009604,0.009604
14,401.872,0.7632,1.70839,1.19003,0.45675,0.42176,0.41924,0.34332,0.73686,2.03458,1.19781,0.009571,0.009571,0.009571
15,429.682,0.76663,1.72637,1.1995,0.44383,0.38394,0.38245,0.3102,0.73003,2.18582,1.19728,0.009538,0.009538,0.009538
16,457.325,0.76141,1.70399,1.18894,0.4499,0.43503,0.45949,0.37851,0.72145,1.95026,1.19408,0.009505,0.009505,0.009505
17,484.612,0.73191,1.61317,1.16125,0.46028,0.42212,0.43085,0.36168,0.75561,2.06798,1.19684,0.009472,0.009472,0.009472
18,512.248,0.71659,1.58262,1.15769,0.46876,0.44577,0.43607,0.3553,0.70368,2.09315,1.18623,0.009439,0.009439,0.009439
19,539.627,0.71665,1.51826,1.15771,0.46636,0.46059,0.48568,0.40839,0.69017,1.87386,1.16221,0.009406,0.009406,0.009406
20,567.293,0.6978,1.48251,1.14817,0.47487,0.46153,0.45931,0.38671,0.67905,1.87573,1.15296,0.009373,0.009373,0.009373
21,594.832,0.68604,1.43938,1.13338,0.48535,0.41701,0.44049,0.37127,0.65459,1.98989,1.13183,0.00934,0.00934,0.00934
22,622.358,0.69148,1.45737,1.14642,0.4713,0.4493,0.45043,0.37877,0.69393,2.01478,1.18391,0.009307,0.009307,0.009307
23,649.974,0.69763,1.4276,1.14482,0.57892,0.39244,0.45701,0.38509,0.65302,1.95987,1.12408,0.009274,0.009274,0.009274
24,677.577,0.66475,1.37728,1.12259,0.45882,0.51584,0.48812,0.42454,0.62915,1.81504,1.1045,0.009241,0.009241,0.009241
25,705.205,0.64972,1.328,1.11551,0.57145,0.42132,0.4853,0.4218,0.63559,1.89243,1.11743,0.009208,0.009208,0.009208
26,732.73,0.64965,1.31172,1.11198,0.52346,0.42943,0.49214,0.42047,0.62793,1.69723,1.13426,0.009175,0.009175,0.009175
27,760.536,0.64214,1.31345,1.11081,0.52554,0.49697,0.51837,0.44174,0.60643,1.73117,1.09444,0.009142,0.009142,0.009142
28,788.116,0.64709,1.27569,1.11441,0.47731,0.53822,0.51335,0.44093,0.60737,1.71747,1.09314,0.009109,0.009109,0.009109
29,815.595,0.63876,1.27301,1.10171,0.52614,0.49652,0.50887,0.42667,0.63433,1.7739,1.12225,0.009076,0.009076,0.009076
30,843.169,0.62151,1.21532,1.09946,0.47108,0.45743,0.47841,0.41452,0.6338,1.81269,1.11718,0.009043,0.009043,0.009043
31,871.007,0.62024,1.2207,1.10016,0.49531,0.47393,0.50768,0.43663,0.68681,1.92859,1.17062,0.00901,0.00901,0.00901
32,898.37,0.61575,1.19588,1.09288,0.4701,0.51338,0.50247,0.43582,0.61632,1.74309,1.10985,0.008977,0.008977,0.008977
33,925.564,0.62094,1.16908,1.09666,0.5385,0.48309,0.51392,0.43841,0.63878,1.79854,1.14309,0.008944,0.008944,0.008944
34,952.186,0.59906,1.14439,1.08526,0.51946,0.52073,0.52602,0.46094,0.59386,1.76476,1.07647,0.008911,0.008911,0.008911
35,978.78,0.59618,1.12041,1.07935,0.52081,0.46221,0.48449,0.42635,0.59048,1.79831,1.10813,0.008878,0.008878,0.008878
36,1005.4,0.58682,1.11863,1.07941,0.53294,0.48906,0.5152,0.45176,0.57726,1.67781,1.08313,0.008845,0.008845,0.008845
37,1032.02,0.57857,1.06821,1.0682,0.57525,0.47724,0.51927,0.45644,0.59109,1.66329,1.09516,0.008812,0.008812,0.008812
38,1058.67,0.58685,1.09005,1.08276,0.54449,0.47497,0.50453,0.44113,0.63867,1.65105,1.11336,0.008779,0.008779,0.008779
39,1085.4,0.58712,1.04642,1.07015,0.51685,0.42011,0.47701,0.4206,0.61562,1.98797,1.13834,0.008746,0.008746,0.008746
40,1112.08,0.57307,1.06136,1.06542,0.60882,0.47206,0.53861,0.46519,0.59828,1.59464,1.09851,0.008713,0.008713,0.008713
41,1138.7,0.56366,1.02467,1.05772,0.5455,0.50307,0.51718,0.44977,0.58875,1.74321,1.10091,0.00868,0.00868,0.00868
42,1165.26,0.56764,1.03244,1.06963,0.56257,0.4436,0.51111,0.44539,0.62695,1.69674,1.12935,0.008647,0.008647,0.008647
43,1191.88,0.56423,1.03369,1.05625,0.59869,0.51614,0.52946,0.46592,0.57039,1.55294,1.08416,0.008614,0.008614,0.008614
44,1218.49,0.56308,1.00223,1.05852,0.58117,0.49463,0.53385,0.47215,0.56821,1.83447,1.06931,0.008581,0.008581,0.008581
45,1245.05,0.56317,0.98728,1.06019,0.56057,0.47431,0.53704,0.47144,0.56654,1.55756,1.06876,0.008548,0.008548,0.008548
46,1271.66,0.54924,0.96353,1.04262,0.66497,0.4444,0.52925,0.46972,0.57118,1.72684,1.0984,0.008515,0.008515,0.008515
47,1298.2,0.53584,0.93965,1.03927,0.55978,0.4992,0.53859,0.47492,0.55373,1.79088,1.05719,0.008482,0.008482,0.008482
48,1324.86,0.54812,0.94937,1.0517,0.62583,0.52021,0.56086,0.49847,0.55053,1.4832,1.0614,0.008449,0.008449,0.008449
49,1351.54,0.5316,0.921,1.03846,0.58179,0.46351,0.51133,0.45224,0.59104,1.82186,1.09692,0.008416,0.008416,0.008416
50,1380.09,0.5434,0.91066,1.05326,0.55712,0.4849,0.5159,0.45825,0.57993,1.88291,1.10404,0.008383,0.008383,0.008383
51,1406.78,0.53614,0.91651,1.04638,0.52118,0.55959,0.55526,0.49337,0.54516,1.54581,1.06373,0.00835,0.00835,0.00835
52,1433.43,0.5271,0.90379,1.03614,0.54762,0.51654,0.53911,0.48531,0.53002,1.66981,1.06104,0.008317,0.008317,0.008317
53,1459.94,0.52481,0.88649,1.037,0.56757,0.52001,0.54645,0.48757,0.52676,1.58732,1.04475,0.008284,0.008284,0.008284
54,1486.75,0.52451,0.8853,1.03012,0.63519,0.45349,0.52608,0.46561,0.55218,1.59227,1.07045,0.008251,0.008251,0.008251
55,1513.31,0.52486,0.8676,1.03692,0.57581,0.51374,0.55262,0.48628,0.55354,1.56173,1.06858,0.008218,0.008218,0.008218
56,1539.92,0.51284,0.88154,1.03217,0.6127,0.50143,0.56101,0.49521,0.5553,1.48472,1.073,0.008185,0.008185,0.008185
57,1566.53,0.52177,0.84607,1.03375,0.58775,0.49013,0.53503,0.47729,0.56915,1.70648,1.0909,0.008152,0.008152,0.008152
58,1593.03,0.51243,0.82838,1.02862,0.63267,0.49847,0.55176,0.48874,0.55655,1.65684,1.08827,0.008119,0.008119,0.008119
59,1619.65,0.50713,0.81714,1.01864,0.55555,0.51055,0.53394,0.47441,0.53527,1.61507,1.06966,0.008086,0.008086,0.008086
60,1646.21,0.50414,0.82414,1.01596,0.58337,0.5043,0.54015,0.48687,0.52791,1.54449,1.04623,0.008053,0.008053,0.008053
61,1672.86,0.50403,0.8114,1.02231,0.58091,0.50256,0.53904,0.47732,0.53739,1.75075,1.05184,0.00802,0.00802,0.00802
62,1699.44,0.50839,0.80871,1.02436,0.57421,0.52333,0.54677,0.48958,0.53397,1.54852,1.05099,0.007987,0.007987,0.007987
63,1725.96,0.49458,0.78939,1.01518,0.58049,0.50419,0.52737,0.46329,0.55567,1.64728,1.06934,0.007954,0.007954,0.007954
64,1752.55,0.50393,0.79479,1.0248,0.60967,0.52492,0.55965,0.49755,0.53486,1.60685,1.05957,0.007921,0.007921,0.007921
65,1779.07,0.49513,0.77572,1.01559,0.5547,0.52048,0.55535,0.49352,0.54412,1.72326,1.0624,0.007888,0.007888,0.007888
