epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.037,0.47999,1.29901,1.05402,0.77006,0.68676,0.77567,0.66989,0.5512,1.51538,1.06125,0.000274061,0.000274061,0.000274061
2,22.1118,0.48663,1.14132,1.05217,0.89654,0.40909,0.58461,0.47172,0.76273,1.78624,1.28478,0.00053352,0.00053352,0.00053352
3,31.2453,0.52553,1.18674,1.06611,0.58134,0.54816,0.56305,0.44353,0.76895,2.01679,1.20051,0.000774654,0.000774654,0.000774654
4,39.8694,0.55605,1.20121,1.08092,0.89808,0.5142,0.6518,0.50509,0.78502,1.72223,1.29089,0.000750533,0.000750533,0.000750533
5,49.124,0.54164,1.16504,1.07711,0.80602,0.68239,0.8094,0.66556,0.66978,1.25293,1.11377,0.000723044,0.000723044,0.000723044
6,58.1596,0.52522,1.09822,1.06143,0.79123,0.32386,0.44828,0.35522,0.84038,2.30972,1.32614,0.000695555,0.000695555,0.000695555
7,67.3159,0.50636,1.04629,1.05358,0.78764,0.63322,0.70854,0.55228,0.83638,1.36852,1.30115,0.000668066,0.000668066,0.000668066
8,76.5624,0.49386,1.00442,1.0447,0.78122,0.61602,0.69648,0.55852,0.64702,1.56557,1.14919,0.000640577,0.000640577,0.000640577
9,85.0166,0.47369,0.96342,1.03537,0.70696,0.46307,0.54922,0.42025,0.6606,2.47908,1.15215,0.000613088,0.000613088,0.000613088
10,93.3538,0.50021,0.96982,1.04312,0.87947,0.42721,0.54196,0.41781,0.95692,2.04525,1.51607,0.000585599,0.000585599,0.000585599
11,101.717,0.47858,0.94195,1.03943,0.67661,0.51919,0.59251,0.511,0.66588,1.78302,1.15548,0.00055811,0.00055811,0.00055811
12,110.433,0.47445,0.88394,1.03862,0.81291,0.71249,0.83205,0.66206,0.61769,1.24358,1.09786,0.000530621,0.000530621,0.000530621
13,118.753,0.46358,0.8429,1.02775,0.9355,0.54534,0.76592,0.61251,0.67535,1.28423,1.13575,0.000503132,0.000503132,0.000503132
14,127.067,0.44095,0.85847,1.01543,0.82368,0.53977,0.71024,0.55557,0.71135,1.46186,1.2862,0.000475643,0.000475643,0.000475643
15,135.517,0.42902,0.78367,1.00796,0.85806,0.47669,0.68577,0.60086,0.60036,1.7717,1.05174,0.000448154,0.000448154,0.000448154
16,144.067,0.42881,0.74394,1.01293,0.62026,0.5625,0.62741,0.47198,0.77591,1.91697,1.30797,0.000420665,0.000420665,0.000420665
17,152.403,0.4158,0.71942,1.00569,0.75989,0.45953,0.6338,0.53494,0.63323,1.55594,1.16465,0.000393176,0.000393176,0.000393176
18,161.9,0.40835,0.68686,0.99902,0.94045,0.51657,0.76244,0.59833,0.57229,1.35771,1.08494,0.000365687,0.000365687,0.000365687
19,170.952,0.39301,0.67245,0.9886,0.60824,0.4977,0.64741,0.51576,0.57933,1.8566,1.04813,0.000338198,0.000338198,0.000338198
20,179.473,0.38853,0.64792,0.98515,0.81041,0.64316,0.77592,0.64408,0.58795,1.45479,1.0561,0.000310709,0.000310709,0.000310709
21,211.771,0.34015,0.61066,0.98048,0.77157,0.52634,0.67463,0.5595,0.56538,1.85684,1.02141,0.00028322,0.00028322,0.00028322
22,220.561,0.31068,0.52657,0.95074,0.75719,0.53977,0.65735,0.51686,0.62338,1.78186,1.05333,0.000255731,0.000255731,0.000255731
23,232.531,0.30616,0.47311,0.94586,0.88813,0.49208,0.69,0.54111,0.63579,1.79498,1.07559,0.000228242,0.000228242,0.000228242
24,241.159,0.28075,0.4525,0.92471,0.95925,0.47727,0.72253,0.58679,0.66131,1.55461,1.1809,0.000200753,0.000200753,0.000200753
25,249.518,0.27661,0.42981,0.91783,0.8823,0.51705,0.69641,0.55076,0.6982,1.58315,1.20645,0.000173264,0.000173264,0.000173264
26,258.567,0.2614,0.39445,0.9158,0.82328,0.55601,0.65575,0.47337,0.62168,1.94985,1.13421,0.000145775,0.000145775,0.000145775
27,267.268,0.26219,0.36711,0.90871,0.71931,0.55547,0.69517,0.527,0.58959,1.72332,1.14133,0.000118286,0.000118286,0.000118286
28,276.696,0.24532,0.34967,0.90094,0.8429,0.55728,0.75222,0.59282,0.63658,1.56516,1.15738,9.0797e-05,9.0797e-05,9.0797e-05
29,285.555,0.239,0.32009,0.89885,0.89868,0.51493,0.71507,0.56658,0.55851,1.81587,1.08741,6.3308e-05,6.3308e-05,6.3308e-05
30,294.622,0.22556,0.31871,0.88086,0.90976,0.51705,0.70473,0.56055,0.55103,1.82056,1.06579,3.5819e-05,3.5819e-05,3.5819e-05
